@relation R_data_frame

@attribute new.names {1048_jEdit_4.2_4.3,1049_pc4,1050_pc3,1054_mc2,1061_ar4,1063_kc2,1064_ar6,1065_kc3,1066_kc1-binary,1067_kc1,1068_pc1,1071_mw1,1073_jEdit_4.0_4.2,1075_datatrieve,1100_PopularKids,1121_badges2,1167_pc1_req,11_balance-scale,12_mfeat-factors,13_breast-cancer,1442_MegaWatt1,1443_PizzaCutter1,1444_PizzaCutter3,1446_CostaMadre1,1447_CastMetal1,1451_PieChart1,1452_PieChart2,1453_PieChart3,1455_acute-inflammations,1456_appendicitis,1459_artificial-characters,1460_banana,1461_bank-marketing,1462_banknote-authentication,1463_blogger,1464_blood-transfusion-service-center,1465_breast-tissue,1466_cardiotocography,1467_climate-model-simulation-crashes,1473_fertility,1475_first-order-theorem-proving,1479_hill-valley,1480_ilpd,1484_lsvt,1487_ozone-level-8hr,1488_parkinsons,1489_phoneme,1490_planning-relax,1491_one-hundred-plants-margin,1492_one-hundred-plants-shape,1493_one-hundred-plants-texture,1494_qsar-biodeg,1495_qualitative-bankruptcy,1498_sa-heart,1499_seeds,14_mfeat-fourier,1500_seismic-bumps,1501_semeion,1504_steel-plates-fault,1506_thoracic-surgery,1508_user-knowledge,1510_wdbc,1511_wholesale-customers,1512_heart-long-beach,1514_micro-mass,1519_robot-failures-lp4,1520_robot-failures-lp5,1523_vertebra-column,1526_wall-robot-navigation-v3,1527_volcanoes-a1,1528_volcanoes-a2,1529_volcanoes-a3,1530_volcanoes-a4,1531_volcanoes-b1,1533_volcanoes-b3,1535_volcanoes-b5,1536_volcanoes-b6,1539_volcanoes-d2,1540_volcanoes-d3,1547_autoUniv-au1-1000,1548_autoUniv-au4-2500,1549_autoUniv-au6-750,1551_autoUniv-au6-400,1552_autoUniv-au7-1100,1553_autoUniv-au7-700,1554_autoUniv-au7-500,1555_autoUniv-au6-1000,1556_acute-inflammations,1558_bank-marketing,1560_cardiotocography-v2,1565_heart-h-v3,1568_nursery-v3,1570_wilt,15_breast-w,1600_SPECTF,164_molecular-biology-promoters,164_molecular-biology_promoters,173_solar-flare,187_wine,18_mfeat-morphological,210_cloud,21_car,23_cmc,24_mushroom,25_colic,28_optdigits,292_Australian,299_libras_move,29_credit-a,307_vowel,30_page-blocks,310_mammography,311_oil_spill,31_credit-g,329_hayes-roth,333_monks-problems-1,334_monks-problems-2,335_monks-problems-3,336_SPECT,338_grub-damage,35_dermatology,36_segment,377_synthetic_control,37_diabetes,38_sick,3_kr-vs-kp,40474_thyroid-allbp,40475_thyroid-allhyper,40496_LED-display-domain-7digit,40499_texture,40733_yeast_v7,40734_satellite_image_v2,40735_ozone_level_v2,40736_libras_move_v2,40_sonar,43_haberman,444_analcatdata_boxing2,446_prnn_crabs,448_analcatdata_boxing1,450_analcatdata_lawsuit,451_irish,458_analcatdata_authorship,461_analcatdata_creditscore,463_backache,464_prnn_synth,466_schizo,469_analcatdata_dmft,470_profb,475_analcatdata_germangss,481_biomed,48_tae,49_heart-c,50_tic-tac-toe,51_heart-h,53_heart-statlog,54_vehicle,55_hepatitis,566_meta,56_vote,59_ionosphere,61_iris,679_rmftsa_sleepdata,685_visualizing_livestock,694_diggle_table_a2,8_liver-disorders}
@attribute dcomp.f4 numeric
@attribute statistical.abs_cor numeric
@attribute dcomp.f3 numeric
@attribute inftheo.equivalent_attributes numeric
@attribute inftheo.normalized_attribute_entropy numeric
@attribute dcomp.f1 numeric
@attribute statistical.cancor_1 numeric
@attribute dcomp.f1v numeric
@attribute landmarking.nn_1 numeric
@attribute dcomp.f2 numeric
@attribute inftheo.mutual_information numeric
@attribute statistical.kurtosis_prep numeric
@attribute cnet.closeness numeric
@attribute simple.symbols_sd numeric
@attribute dcomp.n1 numeric
@attribute Class {Defaults,Tuning}

@data
14_mfeat-fourier,0.979,0.153904,0.979,11.454774,0.550043,2.412,0.970848,22.0059,0.8015,0.000227,0.201015,3.117321,0,0,0.298,Defaults
1514_micro-mass,0.939,0.182614,0.939,27.541273,0.07654,4.293,1,46.4387,0.919444,0,0.083605,16.055657,0.000009,0,0.164,Defaults
164_molecular-biology-promoters,0.737,0.238894,0.245,12.27557,0.521138,0.5315,0.645143,1.649,0.840152,0.0295,0.048543,6.559876,0.000007,0,0.2885,Defaults
333_monks-problems-1,0.246,0.066878,0.246,19.28693,0.999835,0.068,0.575092,0.694,1,0.667,0.035939,1.630902,0.000006,0.755929,0.36,Tuning
334_monks-problems-2,0,0.146636,0,255.348447,0.999875,0.029,0.173318,0.023,0.718802,1,0.002518,1.671505,0.000007,0.755929,0.369,Tuning
335_monks-problems-3,0,0.09447,0,9.435363,0.999871,0.031,0.860048,1.896,0.98556,1,0.073379,1.98474,0.000007,0.755929,0.285,Defaults
40736_libras_move_v2,0.991,0.496556,0.991,5.908689,0.607577,2.894,0.96147,5.157867,0.866667,0,0.458317,2.458045,0.000008,0,0.427,Defaults
12_mfeat-factors,1,0.25601,1,5.351645,0.567693,4.815,0.980516,15.2026,0.9605,0,0.430257,3.886064,0,0,0.08,Defaults
24_mushroom,0.996,0.512146,0.223,4.810254,0.658003,0.059,1,10.678,1,0,0.143964,48.193577,0,3.122672,0.003,Defaults
1568_nursery-v3,0.4,0.070137,0.4,10.632828,1,0.004,1,3.9595,0,2.125,0.111773,2.358164,0,0.881917,0.358,Tuning
28_optdigits,1.684,0.162119,0.773,9.952199,0.400497,1.628,0.93281,0.2991,0.987544,0.000075,0.231358,35.900592,0,0,0.028,Defaults
1487_ozone-level-8hr,0.719,0.326277,0.256,12.444653,0.53124,0.808,0.420737,2.194,0.921219,0,0.018969,4.447025,0.000002,0,0.12,Defaults
40735_ozone_level_v2,0.943,0.323767,0.317,12.286053,0.531319,0.947,0.325037,2.798,0.951345,0,0.010647,4.398953,0.000005,0,0.068,Defaults
30_page-blocks,0.991,0.411485,0.991,9.052527,0.190834,0.509,0.720885,5.1472,0.962543,0.003,0.048657,39.413637,0,0,0.071,Defaults
1488_parkinsons,0.99,0.443076,0.359,6.843701,0.381834,1.517,0.701957,3.641,0.964103,0,0.081545,6.623472,0.000086,0,0.133,Defaults
1489_phoneme,0.135,0.153697,0.122,6.528499,0.5221,0.27,0.497794,0.174,0.907661,0.271,0.092708,3.709803,0,0,0.199,Tuning
1491_one-hundred-plants-margin,1,0.239439,1,7.148441,0.367843,7.907,0.987148,7.57436,0.736875,0,0.64422,3.421019,0,0,0.411,Defaults
1492_one-hundred-plants-shape,1,0.582035,1,4.401312,0.449814,12.665,0.976942,2.60016,0.645,0,1.046318,2.833357,0,0,0.582,Defaults
1493_one-hundred-plants-texture,1,0.304778,1,10.657943,0.254272,4.214,0.958134,5.87448,0.804878,0,0.432086,4.779242,0,0,0.395,Defaults
1526_wall-robot-navigation-v3,1,0.190606,1,3.823591,0.404249,0.878,0.689525,0.302,0.973607,0.004,0.310832,11.48457,0,0,0.062,Defaults
1498_sa-heart,0.091,0.180293,0.05,20.571869,0.520865,0.392,0.485813,0.495,0.645022,0.359,0.03136,4.612205,0.000011,0,0.5,Defaults
1499_seeds,1,0.434152,1,2.067698,0.569316,5.296,0.928341,2.223667,0.942857,0.007,0.531322,2.809484,0.000034,0,0.124,Defaults
1501_semeion,19.443,0.130874,0.421,22.391141,0.164416,1.286,0.935469,21.5671,0.915254,1,0.102831,9.176805,0,0,0.191,Defaults
31_credit-g,0.024,0.158644,0.014,51.466276,0.591541,0.107,0.530518,1.929,0.7,0.662,0.011869,15.109157,0.000003,2.038099,0.453,Tuning
53_heart-statlog,0.093,0.115723,0.015,10.109829,0.361598,0.76,0.738409,4.594,0.755556,0.196,0.06795,3.703976,0.000028,0,0.367,Tuning
36_segment,0.994,0.363027,0.994,3.528263,0.404478,15.614,0.981184,13.195857,0.974026,0.000165,0.551521,16.444051,0,0,0.077,Defaults
40734_satellite_image_v2,2.406,0.568587,0.789,2.769206,0.574451,3.602,0.936567,2.254333,0.905361,0.000376,0.621582,4.182673,0,0,0.158,Defaults
54_vehicle,3.846,0.45422,0.639,7.867195,0.521414,0.35,0.841999,0.525,0.6974,0.169,0.17613,5.22981,0.000002,0,0.452,Defaults
1504_steel-plates-fault,0.878,0.238996,0.207,21.962181,0.322378,0.464,1,26.962,0.997424,0,0.029387,46.516907,0.000001,0,0.02,Defaults
48_tae,0.238,0.196687,0.106,18.454336,0.611133,0.097,0.421226,0.365333,0.668874,1.692,0.059515,4.485006,0.000065,0.57735,0.583,Defaults
40499_texture,0.942,0.651381,0.942,3.070271,0.519381,10.29,0.989646,5.633909,0.991091,0.000005,0.781005,3.753873,0,0,0.026,Defaults
1506_thoracic-surgery,0.109,0.118813,0.077,90.168024,0.436201,0.009,0.350963,0.71,0.770213,0,0.004668,28.598043,0.000026,1.398586,0.338,Tuning
40474_thyroid-allbp,1.282,0.094178,0.322,38.644951,0.296134,0.164,0.61556,4.4078,0.608571,0,0.027401,62.48123,0,0.654654,0.532,Defaults
40475_thyroid-allhyper,1.282,0.094178,0.322,38.644951,0.296134,0.164,0.61556,4.4078,0.608571,0,0.027401,62.48123,0,0.654654,0.532,Defaults
1508_user-knowledge,0.429,0.172811,0.429,5.13651,0.614412,6.001,0.968019,0.6236,0.80397,1.312,0.276247,2.503316,0.000008,0,0.337,Defaults
1523_vertebra-column,2.371,0.334149,0.706,6.409085,0.409369,0.776,0.772152,1.697,0.770968,0.047,0.161346,6.471457,0.000017,0,0.368,Defaults
187_wine,0.809,0.206138,0.809,3.353531,0.530386,2.673,0.949111,16.258333,0.949438,0.000061,0.323849,3.439784,0.000048,0,0.118,Defaults
40733_yeast_v7,0.848,0.090435,0.668,17.944212,0.297793,0.796,0.684263,0.11925,0.543735,0.028,0.073189,36.869923,0.000001,0,0.626,Tuning
