@relation R_data_frame

@attribute datasets {1048_jEdit_4.2_4.3,1049_pc4,1050_pc3,1054_mc2,1061_ar4,1063_kc2,1064_ar6,1065_kc3,1066_kc1-binary,1067_kc1,1068_pc1,1071_mw1,1073_jEdit_4.0_4.2,1075_datatrieve,1100_PopularKids,1121_badges2,1167_pc1_req,11_balance-scale,12_mfeat-factors,13_breast-cancer,1442_MegaWatt1,1443_PizzaCutter1,1444_PizzaCutter3,1446_CostaMadre1,1447_CastMetal1,1451_PieChart1,1452_PieChart2,1453_PieChart3,1455_acute-inflammations,1456_appendicitis,1459_artificial-characters,1460_banana,1461_bank-marketing,1462_banknote-authentication,1463_blogger,1464_blood-transfusion-service-center,1465_breast-tissue,1466_cardiotocography,1467_climate-model-simulation-crashes,1473_fertility,1475_first-order-theorem-proving,1479_hill-valley,1480_ilpd,1484_lsvt,1487_ozone-level-8hr,1488_parkinsons,1489_phoneme,1490_planning-relax,1491_one-hundred-plants-margin,1492_one-hundred-plants-shape,1493_one-hundred-plants-texture,1494_qsar-biodeg,1495_qualitative-bankruptcy,1498_sa-heart,1499_seeds,14_mfeat-fourier,1500_seismic-bumps,1501_semeion,1504_steel-plates-fault,1506_thoracic-surgery,1508_user-knowledge,1510_wdbc,1511_wholesale-customers,1512_heart-long-beach,1514_micro-mass,1519_robot-failures-lp4,1520_robot-failures-lp5,1523_vertebra-column,1526_wall-robot-navigation-v3,1527_volcanoes-a1,1528_volcanoes-a2,1529_volcanoes-a3,1530_volcanoes-a4,1531_volcanoes-b1,1533_volcanoes-b3,1535_volcanoes-b5,1536_volcanoes-b6,1539_volcanoes-d2,1540_volcanoes-d3,1547_autoUniv-au1-1000,1548_autoUniv-au4-2500,1549_autoUniv-au6-750,1551_autoUniv-au6-400,1552_autoUniv-au7-1100,1553_autoUniv-au7-700,1554_autoUniv-au7-500,1555_autoUniv-au6-1000,1556_acute-inflammations,1558_bank-marketing,1560_cardiotocography-v2,1565_heart-h-v3,1568_nursery-v3,1570_wilt,15_breast-w,1600_SPECTF,164_molecular-biology-promoters,164_molecular-biology_promoters,173_solar-flare,187_wine,18_mfeat-morphological,210_cloud,21_car,23_cmc,24_mushroom,25_colic,28_optdigits,292_Australian,299_libras_move,29_credit-a,307_vowel,30_page-blocks,310_mammography,311_oil_spill,31_credit-g,329_hayes-roth,333_monks-problems-1,334_monks-problems-2,335_monks-problems-3,336_SPECT,338_grub-damage,35_dermatology,36_segment,377_synthetic_control,37_diabetes,38_sick,3_kr-vs-kp,40474_thyroid-allbp,40475_thyroid-allhyper,40496_LED-display-domain-7digit,40499_texture,40733_yeast_v7,40734_satellite_image_v2,40735_ozone_level_v2,40736_libras_move_v2,40_sonar,43_haberman,444_analcatdata_boxing2,446_prnn_crabs,448_analcatdata_boxing1,450_analcatdata_lawsuit,451_irish,458_analcatdata_authorship,461_analcatdata_creditscore,463_backache,464_prnn_synth,466_schizo,469_analcatdata_dmft,470_profb,475_analcatdata_germangss,481_biomed,48_tae,49_heart-c,50_tic-tac-toe,51_heart-h,53_heart-statlog,54_vehicle,55_hepatitis,566_meta,56_vote,59_ionosphere,61_iris,679_rmftsa_sleepdata,685_visualizing_livestock,694_diggle_table_a2,8_liver-disorders}
@attribute PC1 numeric
@attribute PC2 numeric
@attribute PC3 numeric
@attribute PC4 numeric
@attribute PC5 numeric
@attribute PC6 numeric
@attribute PC7 numeric
@attribute PC8 numeric
@attribute PC9 numeric
@attribute PC10 numeric
@attribute PC11 numeric
@attribute PC12 numeric
@attribute PC13 numeric
@attribute PC14 numeric
@attribute PC15 numeric
@attribute PC16 numeric
@attribute PC17 numeric
@attribute PC18 numeric
@attribute PC19 numeric
@attribute PC20 numeric
@attribute PC21 numeric
@attribute PC22 numeric
@attribute PC23 numeric
@attribute PC24 numeric
@attribute PC25 numeric
@attribute PC26 numeric
@attribute PC27 numeric
@attribute PC28 numeric
@attribute PC29 numeric
@attribute PC30 numeric
@attribute PC31 numeric
@attribute PC32 numeric
@attribute PC33 numeric
@attribute PC34 numeric
@attribute PC35 numeric
@attribute PC36 numeric
@attribute PC37 numeric
@attribute PC38 numeric
@attribute PC39 numeric
@attribute PC40 numeric
@attribute Class {Defaults,Tuning}

@data
1533_volcanoes-b3,-7.456745,-0.26513,9.412271,3.451131,-0.389404,0.105285,-2.111534,0.997538,-1.425615,0.317275,-0.803135,0.797974,-0.84914,0.417415,0.091984,1.353989,0.793097,-0.700289,-0.410885,-0.300254,0.095656,-0.410925,-0.339669,-0.897005,-0.263525,0.580266,-0.332086,0.276229,-0.158754,0.54376,-0.52493,0.393099,-0.243045,-0.158344,-0.273732,-0.038638,0.058832,0.130681,-0.615108,0.228471,Defaults
1535_volcanoes-b5,-7.287927,0.417381,8.718035,3.328172,-0.210001,-0.104421,-2.127572,1.04322,-1.334518,-0.020387,-0.32594,1.266878,-0.777885,0.255874,-0.087815,1.37494,0.611681,-0.482987,-0.533993,-0.734912,0.035305,-0.288641,0.067447,-0.469217,0.040339,0.199155,-0.107267,0.64317,0.618131,0.040069,-0.123408,0.276629,-0.182778,0.152089,0.229468,0.329592,-0.1221,-0.036838,-0.186155,-0.016575,Defaults
1536_volcanoes-b6,-7.493845,-0.220383,9.040428,3.496269,-0.327249,0.157365,-2.008181,1.00762,-1.387601,0.289002,-0.60393,0.767755,-0.879011,0.320511,-0.183994,1.400958,0.425498,-0.750179,-0.453088,-0.277696,-0.24591,-0.638568,-0.379619,-0.679623,-0.32862,0.514495,-0.224636,0.329336,0.140331,0.211798,-0.211222,0.373423,-0.238961,0.111324,0.206997,0.140726,-0.002104,0.037377,-0.210063,0.274369,Defaults
1539_volcanoes-d2,-8.01424,-3.809461,8.896804,4.278373,1.67302,1.181716,-1.881205,-1.183878,-1.023858,-1.389115,0.974255,-0.599888,-1.087966,-0.449754,0.748021,-1.797419,-1.815729,2.564488,1.604635,-0.301004,0.548723,-0.820372,0.395286,-0.972271,-0.542729,-0.084623,-0.270518,0.156319,0.39955,-0.435744,0.301611,-0.034137,-0.594057,0.193168,0.01073,0.167543,0.114492,-0.05274,0.137607,-0.256798,Tuning
1540_volcanoes-d3,-8.020085,-3.796709,8.993127,4.35631,1.654643,1.157391,-1.933803,-1.15449,-1.057322,-1.403945,0.959908,-0.579117,-1.119053,-0.437934,0.805567,-1.780191,-1.818685,2.591156,1.597558,-0.383126,0.571679,-0.800193,0.418186,-0.964593,-0.490452,-0.081194,-0.334175,0.146878,0.432804,-0.482011,0.289152,-0.054194,-0.597322,0.216274,0.00119,0.157978,0.071899,-0.063273,0.090846,-0.259125,Tuning
1556_acute-inflammations,-0.906116,-3.700722,-2.717285,1.030759,-2.945679,0.24499,0.14634,0.986738,0.75034,1.077941,-0.751365,-0.140274,1.298928,1.277549,-0.476165,0.654146,-1.246351,1.789794,-2.283117,-0.524089,-0.009142,-0.59278,-1.098318,0.01592,-0.873286,-0.532129,-0.010217,0.707905,0.450059,0.834206,-0.395767,-0.062469,0.284611,0.49646,-0.461401,0.508223,-0.034729,-0.452336,-0.0234,-0.220214,Defaults
1558_bank-marketing,-4.014378,1.817133,1.099419,-0.073378,0.668472,-2.720756,-0.642288,-0.474429,0.259502,-0.573323,-0.169151,-0.618179,-0.421056,0.641936,0.283443,0.389157,-0.052309,-0.658391,-0.8872,0.120967,-0.571132,0.9462,0.085418,0.502385,-0.44173,-0.406747,0.191721,0.055192,0.05819,-0.534167,-0.247402,0.067054,0.188079,-0.345888,0.36914,-0.14118,-0.245453,0.034558,-0.147256,-0.108712,Defaults
1570_wilt,-4.537918,5.913533,2.910984,-0.148553,-0.642501,-1.653449,0.879571,-0.544091,0.098287,1.574725,0.050432,-1.589923,-1.332323,0.850776,0.380135,1.04489,-0.233916,-0.572062,-0.993971,2.109078,-1.005934,0.424385,0.551968,-0.461031,1.603237,-1.336419,0.183175,-0.085789,0.589003,0.437464,0.343149,-0.139496,0.033,-0.434791,-0.363192,-0.025603,-0.185656,0.263642,-0.392198,-0.577264,Defaults
1600_SPECTF,-0.940018,1.710575,-1.412745,-0.700472,-0.665199,0.984284,-0.090013,-1.863541,0.530502,-1.049054,-0.564834,0.118302,-1.992052,-0.583759,-0.765065,0.351148,-0.188653,-0.515311,0.501292,-0.393352,0.800695,0.539524,0.324371,0.071669,-0.491602,0.665734,-0.00897,-0.584725,0.46596,-0.158087,0.039197,0.254121,0.385358,-0.231581,-0.08918,-0.256469,0.131148,-0.388253,-0.706636,0.103209,Defaults
164_molecular-biology_promoters,0.666654,-8.423164,-3.855326,3.966682,-1.293145,-8.311368,-1.376053,-2.049361,-0.510254,4.175235,-3.861464,0.175465,1.282073,-5.618242,4.431177,5.583213,-0.063781,1.76273,3.444116,2.41409,2.034461,2.117299,-2.131242,-0.188268,0.325932,0.424843,0.005765,0.845032,0.100859,-0.434844,0.498214,0.313397,0.280481,0.021664,-0.037838,-0.202614,-0.036938,-0.146393,0.241051,-0.046503,Defaults
18_mfeat-morphological,5.604039,-0.025252,2.404568,-1.681055,-0.177663,0.027069,1.406167,1.940347,-0.768486,0.432896,-0.43029,-1.819573,1.752377,0.439627,0.553511,0.056414,0.330257,-0.527417,1.600907,-0.489517,0.019396,0.415283,0.56503,0.838936,-0.017552,0.05563,0.236535,0.221749,0.484224,-0.973126,-0.400304,-0.464085,-0.464142,-0.266239,-0.956735,0.822995,0.7853,-0.655514,-0.894862,-0.037388,Tuning
292_Australian,-1.340087,-1.836021,-1.879623,-0.47691,-0.778388,1.022505,-0.812838,1.682117,0.507982,-0.725602,0.410131,0.400525,-0.743744,-0.732751,-1.853816,-0.025397,-1.218065,-0.189816,-0.013711,0.368001,1.572634,0.758782,0.301507,0.220353,0.844595,-0.310688,0.829005,0.208458,0.21313,0.215601,-0.131106,0.429347,-0.094886,-0.194923,0.263396,0.241518,-0.101354,-0.252048,-0.126985,0.00649,Tuning
299_libras_move,7.83454,2.235735,2.256916,-2.077609,-2.163798,-0.236557,0.522686,-2.269594,0.319409,-0.502152,-1.644145,-1.340603,-0.656082,0.816608,1.433134,0.567434,-1.146512,0.308157,0.14475,-1.450367,1.083128,-1.191312,0.157577,-0.352264,-1.054407,0.329122,-0.1389,0.135357,0.372066,0.493541,-0.607118,0.179901,0.130682,0.64313,0.148722,-0.123934,0.236339,0.020788,-0.074805,0.494946,Tuning
29_credit-a,-0.979401,-2.555205,-2.709185,-0.323007,-0.035903,-1.652119,-0.929868,2.171821,0.127918,-0.362906,0.480499,-0.288706,0.467671,0.292602,-0.762772,-0.186486,-1.190484,0.187005,-0.606054,-0.053074,0.571276,0.520744,0.052098,0.357672,0.223944,-0.372287,0.05754,0.294326,0.260114,-0.202532,-0.523677,0.568845,0.151841,-0.039319,0.52684,0.105031,-0.188025,-0.059354,-0.588134,-0.107671,Defaults
311_oil_spill,-4.644264,0.201307,0.30409,-2.738366,1.377007,0.133967,0.744729,-1.179428,0.656082,0.570905,-0.973215,-1.33563,-0.14355,-0.118708,-0.238167,0.453895,-0.331759,-0.461652,-0.558942,-0.612967,-0.893765,1.048889,0.290322,-0.601547,0.443256,-0.107322,-0.77964,-0.123064,0.593209,0.025815,-0.173762,-0.877026,0.3459,-0.614156,0.284013,-0.20533,0.005395,0.445253,-0.142367,-0.212465,Defaults
336_SPECT,-2.124826,-0.549023,-2.648505,2.049024,0.275218,-1.187943,-0.868903,-1.80948,1.02316,-1.961648,0.148467,2.443967,1.477557,0.434466,0.121516,-0.447534,1.177048,-0.70184,-0.18108,-0.014943,-0.09312,0.547069,-0.408457,0.275922,-1.130903,0.941492,0.642382,0.013463,1.144165,0.040509,-0.328101,-0.28333,0.087477,-0.25163,0.057044,-0.025627,0.392634,-0.086077,-0.131564,0.53696,Defaults
338_grub-damage,4.184541,1.026378,-1.568726,2.739716,1.170531,-0.552703,0.26409,-0.979559,-1.538589,-0.612377,-1.045254,-0.698594,0.026004,1.373162,0.764012,0.241149,0.411282,-0.234909,-0.610305,-0.447141,0.567961,-1.059819,-0.455692,-0.651725,-0.383824,0.592411,0.191917,-0.930362,0.864222,-0.737253,0.243091,0.111778,-0.2109,0.519945,0.2603,-0.243347,-0.446589,0.009164,0.13501,-0.147602,Tuning
377_synthetic_control,4.197537,-1.848393,1.693381,-1.244736,-3.145316,1.177176,0.089181,0.483022,0.868139,-0.625047,-0.747744,0.049818,-0.017632,-0.007845,1.444906,-1.133895,-0.094389,-1.279694,0.99643,-0.739966,0.082561,0.499577,0.302881,0.093764,-0.197563,-0.497123,-0.216239,0.566872,0.194312,-0.456966,-0.719799,0.180107,0.201381,0.008235,-0.110663,0.254988,0.11667,0.163625,-0.12335,-0.085394,Defaults
37_diabetes,0.099218,4.132845,-1.656085,0.448474,-0.919399,0.552795,0.15413,0.377571,0.130119,-0.343669,1.132814,0.899869,-1.198445,-0.937766,0.350812,0.101581,-0.230324,0.208265,0.040729,0.190353,-0.031365,0.307791,0.529394,-0.09518,0.037695,-0.403995,-0.154439,0.477422,-0.381426,-0.463931,0.639112,-0.124644,-0.349283,-0.224947,-0.067757,0.057461,-0.00756,-0.046115,-0.192363,0.019164,Defaults
38_sick,-5.453998,0.653699,0.354537,-1.343841,0.733807,-4.113089,-0.772192,-1.035419,1.077264,-1.313494,0.021413,-0.471116,0.715773,0.987908,-0.345714,-0.086318,0.463101,-1.239553,0.160701,0.996956,-0.110065,0.662243,0.243911,0.510906,-0.716416,-0.289588,0.23248,-0.653783,-0.364466,0.323675,-0.556638,0.388164,0.445003,0.421581,0.994826,0.226506,0.096194,-0.498871,-0.052496,-0.378096,Defaults
446_prnn_crabs,0.524803,0.475443,-2.764353,0.759055,-2.526184,1.556149,0.627864,1.546499,-0.146406,0.784497,0.334585,0.236532,-1.621089,0.757567,1.023228,0.946096,-0.489561,1.288976,-0.147714,-0.510338,-0.435401,-0.552466,-0.092046,-0.402962,0.042855,0.229403,0.021468,0.083912,1.233932,1.003629,0.609188,-1.404463,0.20436,-0.447094,0.246787,-0.226266,-0.882766,0.308649,0.263946,0.002883,Defaults
451_irish,-1.356564,-4.491759,-2.323645,2.275035,-2.548631,0.400497,-0.217793,1.307958,0.379183,0.138214,0.425557,-1.345773,-0.91563,0.927643,-0.197172,-0.790712,-0.867425,0.000714,-0.713932,-0.596421,0.386906,1.04614,-0.303334,-0.183858,0.763488,0.175119,-0.325727,0.210729,-0.044789,0.189902,0.24149,0.088703,-0.353515,0.298198,0.55304,0.261007,0.1142,-0.192659,0.569723,0.591118,Defaults
464_prnn_synth,-1.39299,-2.702922,-1.723332,1.521327,-2.341953,2.408538,0.522702,1.619719,0.020997,1.261474,0.573937,-0.513852,-0.345096,-1.223497,-1.2339,-0.12799,-0.79862,0.757956,0.062127,-0.949703,0.148337,1.093438,0.207401,0.543127,-0.314277,0.07006,-0.312816,0.132345,-0.14638,-0.207986,-0.948691,0.024459,-0.449011,0.125703,0.033339,0.25199,0.28674,0.204186,0.524122,-0.02684,Defaults
466_schizo,1.717675,3.761282,-2.559974,1.178047,-0.234177,1.062767,0.095197,1.821648,-0.051966,0.194275,1.437472,2.445935,-0.989191,-0.397546,2.278642,0.382971,-0.637046,0.889471,0.079612,1.060883,-1.325925,-1.372982,-0.482913,-1.211136,0.93001,-1.164456,-0.059398,-0.302285,-0.300627,0.32178,-1.788569,0.085934,-0.010055,-0.624995,0.311041,-0.790691,-0.029035,0.646267,0.855933,0.64905,Defaults
470_profb,1.202014,5.995363,-2.130779,2.299538,0.637392,-2.928089,0.908187,-0.050252,-0.277044,0.70803,1.336746,1.023343,-1.920355,-0.341939,0.64607,-0.731837,-0.10115,-0.644061,-0.470552,1.319117,-0.162747,-1.337848,-0.014296,-0.975049,1.292055,0.012263,0.054721,-0.764383,-0.513111,-0.847196,0.009489,0.170104,-1.142549,0.309632,-0.232293,-0.622174,-0.827369,-1.14277,-0.641674,0.35724,Defaults
481_biomed,-1.025298,-1.333103,-2.228443,-0.64473,-0.866956,1.044269,0.35984,1.476412,-0.184985,0.075394,0.488287,1.012191,-0.397885,-0.454376,0.751483,-0.312929,0.509372,0.28371,-0.691112,-0.503812,0.107828,0.121232,0.743049,-0.552006,-0.998617,-0.378363,-0.754601,0.787015,-0.554897,0.123889,0.601554,-0.10003,0.205093,0.127605,0.389159,-0.07491,0.277159,-0.508717,-0.081314,-0.114024,Tuning
50_tic-tac-toe,1.719693,4.879733,-2.327175,3.567565,-2.198784,-3.089668,-0.537052,-3.299403,1.371771,-0.864935,2.180307,-2.136139,-0.437014,1.882018,-1.315199,1.622627,0.479356,-0.236236,2.454079,-1.935184,-0.580779,-0.519965,0.384865,-0.493858,-0.561413,0.000643,-0.822948,0.932671,-1.372533,-0.859966,0.767205,-0.85064,0.205082,-0.63164,-0.2429,0.36168,-0.446469,0.484667,0.136974,0.04363,Tuning
56_vote,-1.286165,-5.452635,-2.414987,2.89522,-2.552866,-2.030673,-1.515964,-0.90253,1.774697,-0.938134,1.075709,-0.858916,1.16268,1.893769,-2.249676,1.335563,-0.790824,-0.333249,1.544713,-0.907269,-0.661333,-0.938131,0.741938,-1.184429,1.722047,-0.904713,-0.734168,-0.327094,-0.126164,-0.248306,-0.130594,0.420741,0.712222,-0.22057,-0.270864,0.797492,0.07583,0.02317,0.551073,0.285053,Defaults
679_rmftsa_sleepdata,2.010066,3.010806,0.491161,3.034433,1.46131,2.259909,1.43296,0.862422,-2.018988,2.0025,1.194421,-1.008442,1.856688,-1.473844,-0.438619,0.275427,0.134148,0.281764,0.388278,-0.689808,-1.294903,0.316758,0.343746,0.308119,0.717895,-0.296866,0.134916,0.119049,0.764035,0.396549,0.558928,-0.284195,-0.10109,0.152307,-0.171972,0.252453,0.279599,-0.053816,0.414924,0.233821,Defaults
685_visualizing_livestock,6.189115,3.448907,-1.524535,3.547431,3.109299,-0.172841,3.214674,1.881755,-4.49759,4.803335,1.204086,-1.255723,3.074076,1.305197,-0.550243,-0.0487,2.29516,2.464278,0.491766,-2.047808,3.28412,-0.432691,0.200706,0.489721,-0.806274,-1.011772,-0.251268,-2.739405,0.348122,0.058791,-0.100417,0.464191,0.081413,-0.705718,0.153791,-0.152044,-0.013452,0.082854,-0.509505,0.160776,Defaults
694_diggle_table_a2,5.601632,0.451209,2.586619,-0.69576,-4.29086,0.710382,3.119439,1.27951,0.586067,2.344837,-1.302031,-1.30808,0.28139,1.679244,2.253104,0.215643,-0.951569,-1.786062,0.754235,2.920883,-2.116853,-2.050972,-0.837901,-0.986107,0.112623,-0.32837,0.527493,-1.0209,0.697755,-0.606506,-0.510112,0.02497,-0.333985,-0.308352,0.39166,0.435392,1.054192,0.000215,0.811596,0.299197,Tuning
1455_acute-inflammations,-1.210276,-4.467891,-2.469973,0.931707,-3.064375,-0.088619,0.103318,0.463691,0.960972,0.690702,-0.713885,-0.538138,0.8015,2.16342,-0.208318,0.4031,-0.831066,1.329827,-1.33652,-0.467361,0.763825,0.255012,-0.315144,0.241698,0.877034,-0.5442,0.17849,-0.054758,0.618345,0.271591,-0.703668,0.492507,0.394442,-0.529844,-0.080357,0.462034,0.023769,0.646416,-0.190674,-0.341754,Defaults
458_analcatdata_authorship,1.641309,-0.622906,0.732948,-1.880876,-3.191259,0.887459,-0.90167,-0.755327,0.995086,-0.357459,-1.4974,-1.90387,-1.582133,-0.530303,-0.016915,-1.510441,2.609753,-0.089915,-0.090616,0.365914,0.003009,1.241087,-0.010123,-0.844666,0.040319,0.283612,-0.861524,-0.137686,-0.232314,-0.114503,0.120729,0.392667,0.126722,-0.369036,0.727379,-0.143862,-0.376956,-0.090704,-0.058877,-0.306839,Defaults
448_analcatdata_boxing1,-0.4365,-1.86981,-2.854307,2.894788,-0.348534,-0.050729,1.145723,0.650344,-0.808263,0.50938,0.523817,0.459922,0.444503,2.012295,2.399678,-0.526702,0.77747,0.425205,-1.398522,-1.290951,-0.508422,0.215981,-1.008941,-0.080998,-0.119424,0.495563,-0.461037,0.066019,0.245425,-0.974199,0.256074,0.051614,-0.198606,0.285471,0.308658,-0.586451,-0.543783,-0.031518,-0.265672,-0.200538,Defaults
444_analcatdata_boxing2,0.561773,-1.146002,-3.905874,3.663897,-0.201869,0.016111,0.565913,1.750812,-1.392643,0.309876,1.180558,0.91885,0.016022,2.036158,2.284356,-0.535914,0.765965,0.718221,-1.50839,-1.161422,0.145952,0.198255,-0.995375,-0.030053,-0.214197,0.644617,-0.654817,-0.356416,0.090617,-0.821705,1.01157,0.282489,-0.78328,0.469733,0.586039,-0.237709,-0.572144,-0.146691,0.116349,-0.452286,Tuning
461_analcatdata_creditscore,-2.696428,-3.666181,-2.296343,0.77562,0.418668,1.589841,0.980876,-0.607647,-0.394794,0.260124,-0.213945,-1.01337,-0.258507,0.787315,0.809162,-0.297843,1.121049,-0.380882,-0.777958,0.538426,0.539698,0.100974,-0.488054,0.637462,-0.065447,-0.405948,-0.738973,0.370786,-1.760348,0.184031,-0.274518,0.686043,-0.755676,-0.447315,0.210793,-0.043295,0.284866,0.275614,-0.173543,0.078474,Defaults
469_analcatdata_dmft,5.516314,2.133792,-0.537171,4.297777,3.054911,-0.222269,-0.768642,-0.582995,-1.717138,-0.490781,0.005378,-1.736224,2.733426,0.422232,-0.211649,-0.186077,-0.58482,-0.017587,-0.762575,-0.946132,-0.953594,0.233132,-0.648838,0.825795,0.194417,0.63895,0.370907,0.641798,0.683238,0.081123,-0.08783,0.783883,0.242773,-0.498884,-0.160538,-0.030504,-0.156364,-0.193259,0.291637,-0.161027,Tuning
475_analcatdata_germangss,4.769385,3.207938,-1.988228,3.342728,2.532827,0.080273,-0.91248,0.515999,-1.536378,-0.429619,0.317372,-0.41001,1.637528,0.640086,0.177819,0.411747,-0.704364,0.345337,-1.39667,0.55811,0.402237,0.158662,-0.899584,-0.542413,0.007583,-0.446333,-0.229838,0.387225,-0.80699,-1.084069,0.210606,0.113646,-0.169414,-0.518374,0.03251,0.953678,0.395542,0.805374,-0.936939,-0.063502,Tuning
450_analcatdata_lawsuit,-4.921571,-2.365542,0.324249,0.286431,-1.539706,1.591041,2.389888,-1.772622,1.465081,1.267547,-0.968078,0.268176,1.095025,-0.210462,-1.62371,-0.274034,0.060338,-1.971428,0.295542,1.064576,-1.420895,-1.318571,-2.134013,0.218741,-1.588282,0.715972,-0.732178,-1.098237,-1.02874,-0.406625,1.028438,0.730649,0.533921,0.020943,-0.200822,-0.141115,0.259008,0.356814,-0.12861,0.063015,Defaults
1456_appendicitis,-2.818552,-1.094947,-1.695413,-0.23895,-0.095934,2.261566,1.676245,-1.404191,0.134669,-0.226503,-0.650669,1.784128,-0.619127,0.388917,-0.124726,0.36609,1.403853,-0.331808,0.323918,0.293522,1.435571,-1.313768,-0.082884,1.275153,0.309262,0.113739,-0.344856,-0.121734,0.611584,-0.227829,0.25627,0.067416,-0.037009,0.093384,0.033927,0.122675,-0.142338,0.008098,-0.137973,-0.354973,Tuning
1459_artificial-characters,5.408845,2.783176,3.241213,1.249026,0.635051,0.581592,-0.607839,1.221687,-0.629021,-0.716333,-0.451088,0.261795,1.058055,-0.69178,0.293087,-0.408192,-0.520291,0.22593,0.040369,0.141839,-0.008095,-0.78112,-0.67573,0.383565,2.107074,0.536765,0.707757,0.437515,-0.225385,0.762085,0.619447,-0.550742,0.462552,-0.068395,0.755852,0.077796,0.184065,-0.115562,-0.596177,-0.094014,Defaults
1547_autoUniv-au1-1000,-1.224224,3.357121,-1.376069,0.210238,0.687382,0.838344,-1.210055,-1.507911,2.007631,-1.47315,0.419846,1.71505,-1.953249,-1.23937,-1.617768,0.080636,-0.091665,-0.850938,0.726357,0.679364,0.707544,0.629634,0.853011,0.522506,-0.237517,0.403652,0.652248,-0.534983,0.061089,0.849304,1.111259,0.058217,-0.287559,-0.454381,-1.173362,0.390385,0.27685,-0.576019,0.457491,-0.05167,Tuning
1548_autoUniv-au4-2500,1.311181,-1.307202,-1.000615,2.580613,2.615168,-1.351813,-3.36657,-0.370981,1.577976,-0.324446,-0.768547,2.032148,0.312833,-2.486651,1.253916,-0.150281,0.176766,-1.300518,0.226417,0.230603,-1.696076,1.151045,0.735688,1.479845,-1.378641,-1.5412,-0.736692,-2.39229,0.437957,1.061922,-0.301156,-1.366898,-0.895232,0.89202,0.656689,1.268202,-0.856271,1.411949,-0.490398,-0.019001,Tuning
1555_autoUniv-au6-1000,4.177387,-2.843883,0.740491,2.172997,3.675845,2.89324,-1.482437,-0.318886,-1.356757,-1.544801,-1.51207,-1.03178,0.608376,-2.197563,-0.870148,-0.425045,-1.180074,-0.80455,-0.094381,-0.257309,-1.074293,0.459992,-0.313791,0.277415,1.124807,-0.797577,-1.229519,-1.171858,-0.359837,-0.270862,-0.222736,0.692388,0.830226,0.275568,-0.222426,0.526056,-0.541971,-0.61039,0.101401,-0.035544,Tuning
1549_autoUniv-au6-750,5.365434,0.846545,0.499353,1.081918,2.515462,1.649177,-1.57825,-0.329542,-0.839686,-1.605632,-1.810346,-0.243024,0.473381,-2.103917,-0.776099,-0.01953,-0.743052,-0.448197,-0.7015,-0.212832,-0.960734,0.051855,-0.579414,0.092169,0.636233,-1.093949,-1.187078,-0.945263,0.231199,-0.543716,0.110939,0.475416,0.22233,-0.340869,-0.174092,0.046698,-0.36839,-0.556403,0.184714,-0.261104,Tuning
1551_autoUniv-au6-400,6.137085,4.255157,0.106995,0.285657,1.200237,0.440539,-0.849708,-2.199799,-0.844981,-1.235902,-2.512205,-1.513418,-0.724868,-1.19672,-0.266614,0.978502,-1.217392,0.32752,-1.238839,-0.331628,0.043233,-0.608937,-0.184477,-0.63954,-0.671096,-1.372926,-1.429634,-1.085989,-0.464299,-0.514592,-0.079613,0.277873,-0.316869,0.072698,-0.263959,-0.128864,-0.02376,-0.447095,0.313115,-0.352314,Tuning
1552_autoUniv-au7-1100,4.250121,1.933014,-0.300658,1.876043,2.330592,1.11933,-1.292045,-0.247607,-0.95173,-1.427707,-0.839658,-0.707046,0.908445,-1.217094,-0.070186,0.415891,-1.149562,-0.190605,-1.017748,-0.65696,-0.879407,0.168541,-0.20721,0.135789,-0.05775,-0.277789,-0.081317,0.837922,-0.312528,0.070017,0.394362,-0.170409,-0.302233,-0.150969,-0.086775,0.241969,0.18198,0.020518,0.136256,-0.064597,Tuning
1553_autoUniv-au7-700,3.044138,2.165132,-1.690735,1.965442,1.755191,1.348873,-1.366517,0.734164,-0.634872,-1.040773,0.152466,0.482776,0.170015,-1.192262,0.522748,0.332544,-0.603113,0.058979,-0.777715,-0.20142,-0.741012,0.279791,-0.257792,-0.100548,-0.403132,-0.352161,-0.438735,0.508902,-0.408705,0.172137,0.192785,-0.152256,-0.595495,-0.607705,-0.416778,0.025636,0.403009,0.202984,-0.169607,0.277358,Tuning
1554_autoUniv-au7-500,3.754025,3.391567,-0.531537,1.475001,1.930912,0.665827,-0.681202,-0.607388,-0.679084,-1.122089,-0.710137,0.240664,0.962355,-0.962697,0.264669,0.267499,-0.887283,0.077047,-1.237348,0.046801,-0.571004,-0.429741,-0.225305,-0.583657,-0.153989,-0.552883,-0.119917,0.617188,-0.028926,0.125032,0.135644,-0.347111,-0.333032,-0.111607,-0.093905,0.114747,0.184986,-0.192009,0.664244,-0.041921,Defaults
463_backache,-3.347276,-3.03493,-2.144695,0.99179,1.274173,-0.966482,0.010199,-2.417596,0.473035,-0.48472,-0.780378,0.324729,1.011783,-0.088077,0.462852,0.086655,0.846554,-0.96707,-0.722248,0.30632,-0.77514,0.322879,0.310116,0.760812,-0.591724,-0.765903,-0.051215,-0.213404,0.155337,0.357888,-0.687961,-0.870703,0.077489,0.203013,0.57332,0.127195,-0.051884,-0.536397,-0.589845,0.353314,Defaults
